"tid";"accession"
33;"P68371"
10155;"P27169"
64;"P11473"
107932;"P35439"
100340;"P31649"
104993;"P35348"
12950;"P35400"
18070;"Q8P1K1"
102616;"P45040"
10108;"O95749"
105760;"P03891"
104951;"P31391"
105832;"Q8CWV8"
116833;"Q99436"
109535;"O01739"
104559;"O15440"
105025;"Q9UBS0"
102893;"Q8WPZ6"
104114;"O00562"
104238;"Q54873"
100681;"P9WN95"
101414;"O75907"
104913;"Q01061"
12971;"P11715"
107885;"P30926"
104868;"P35030"
11179;"P0C869"
11326;"P12081"
105082;"P13945"
105219;"A0R666"
104137;"Q9N1E2"
12453;"P21396"
101555;"Q9HB55"
103835;"P24928"
104911;"P51946"
104010;"Q9C000"
101613;"Q9P289"
104583;"P54652"
10464;"P08543"
109086;"P91764"
116860;"Q9GZT9"
11431;"P17707"
19655;"P00336"
107630;"P48051"
116666;"Q923J1"
11881;"P28472"
109170;"P22188"
101363;"Q97SG0"
105062;"Q3UEI1"
106197;"O00232"
104257;"Q9H5I1"
10872;"Q95N78"
107897;"Q00526"
10459;"P04174"
101272;"Q8VC69"
276;"P27815"
108283;"Q925H0"
105550;"E3UJZ5"
101366;"O60333"
100863;"Q8K4Z4"
10083;"P62136"
108018;"P46953"
104858;"Q86VQ6"
109963;"Q8QZV1"
10706;"P04745"
107884;"P02708"
109879;"Q9WTN3"
104705;"P30994"
106148;"P15509"
104733;"P49286"
103597;"A4GRB7"
104800;"P19156"
109592;"Q2M385"
105944;"P9WH99"
12698;"P53602"
103747;"Q92560"
101509;"Q9H5J4"
104153;"Q9QZX8"
107942;"P16056"
105944;"P9WH91"
109953;"F1MPW5"
105830;"P0C018"
116833;"P40306"
105199;"Q96RU2"
106574;"A0A1I7V6Q8"
105830;"P0A7M9"
105465;"P49753"
107934;"P0C1U9"
104476;"P10588"
104921;"P18507"
105832;"P61361"
105377;"Q9QXY7"
105639;"Q01118"
101393;"P55087"
102932;"Q62600"
15;"P00918"
10564;"P37289"
100234;"P13956"
104180;"Q9GZU7"
102958;"P40495"
107661;"P16388"
102466;"Q7DHH4"
77;"P16233"
13028;"P62965"
105079;"P06748"
104202;"Q05639"
10962;"Q9XTA2"
11344;"Q9GJU1"
101101;"Q9Z1M0"
105685;"Q9XDB3"
104540;"Q06806"
105039;"O76074"
102791;"P45974"
101528;"P02692"
104872;"Q14123"
116731;"Q9HB21"
103630;"Q9Y5S8"
104516;"O15121"
116779;"Q9BQE3"
12078;"Q9Z0U4"
10630;"P23979"
106167;"P12110"
109701;"P35503"
104863;"Q7TQM4"
11309;"P04350"
104909;"O60896"
10041;"P21761"
105093;"P14842"
105089;"P37231"
105760;"P19404"
12964;"P08603"
12689;"P08909"
116007;"O14804"
100247;"P25044"
11136;"P33609"
100785;"Q6P1M0"
10223;"P28329"
10197;"P49841"
108140;"P00533"
10893;"Q13509"
104902;"Q13002"
108341;"Q9EPB5"
114855;"P05112"
105094;"P56560"
105734;"O00555"
12051;"P51635"
12487;"B7X946"
109836;"Q11201"
106075;"Q2FW12"
107891;"Q13489"
17056;"P15381"
101399;"Q99759"
105760;"P03915"
103836;"O54754"
109521;"Q99952"
10095;"P00378"
100083;"Q62137"
103143;"P05369"
20088;"P23711"
10705;"P04746"
83;"P20711"
12980;"P98174"
104959;"Q64133"
106082;"Q9A1V9"
101266;"Q8SPZ1"
105705;"P0C0X1"
104916;"P20052"
104862;"P30542"
107879;"O43741"
12488;"Q4QQW4"
104777;"Q9BZJ3"
109674;"Q80W57"
10019;"P20142"
108368;"P19357"
109698;"P31512"
106198;"E0VV52"
12071;"P06493"
10766;"P22443"
12569;"P26684"
20177;"A3KMY8"
10157;"P69905"
17042;"P03359"
100680;"O08889"
109447;"P02666"
267;"P54219"
11607;"Q02110"
108126;"P54287"
105528;"O65677"
101339;"P21708"
109472;"O35820"
106197;"O00487"
100151;"P00488"
104509;"Q13564"
104800;"P18434"
108291;"Q3UES3"
100629;"P23470"
104813;"P17252"
104624;"B2RX12"
12572;"Q01812"
10939;"Q9UK32"
103434;"P78595"
105757;"P23458"
100420;"Q07014"
116918;"Q06643"
105356;"Q9Z139"
105830;"P02413"
109687;"P51870"
105944;"P9WHC1"
110;"P0AEK4"
20077;"P14207"
105072;"Q5EI74"
104835;"Q00959"
104679;"P27815"
101564;"Q9NBD4"
11195;"P04229"
11564;"O14983"
101574;"P03373"
108256;"O43826"
12700;"P24752"
105708;"O43526"
104683;"P17252"
106082;"Q9A1X4"
100187;"Q17058"
104545;"Q5KTC7"
106166;"P55268"
105113;"P30728"
106148;"P32927"
100482;"Q9Z5X1"
104713;"P29276"
109524;"Q9BW19"
109863;"Q61180"
11346;"Q8SPQ9"
107927;"Q9WTU6"
106632;"Q1CTD3"
105029;"P46098"
109672;"Q99PG0"
101281;"O15075"
104105;"Q8WWX8"
101499;"P80370"
11430;"P19020"
106599;"O24163"
105708;"P51787"
10586;"Q62035"
115990;"Q9Y4K0"
13080;"P01161"
12763;"P00441"
109853;"Q64F92"
102814;"Q9R1C8"
107939;"P08571"
101487;"P9WNS1"
109979;"Q13133"
107665;"Q9H0J9"
116905;"O06446"
106082;"P66583"
101191;"Q8IYT8"
48;"P08235"
104871;"P49356"
101036;"Q16651"
100121;"P08683"
12709;"P30281"
12801;"P24593"
107646;"Q86SG6"
107607;"Q13336"
12229;"P10938"
17120;"Q63931"
10914;"P26769"
104717;"P49768"
104773;"P09619"
108407;"P61794"
101413;"O75828"
115874;"Q9GZV9"
116669;"Q9EQC5"
102614;"P10724"
109762;"O00398"
106196;"P10228"
105348;"Q8WWQ0"
105613;"P31396"
102560;"Q45614"
11736;"P30543"
106004;"E0VY07"
102390;"P12277"
