"tid";"molregno";"disease_efficacy"
88;121124;1
88;674794;1
286;122901;1
30008;361469;1
19;675467;1
19;47340;1
19;342897;1
19;27626;1
19;674381;1
19;421038;1
19;1675249;1
19;31241;1
19;117108;1
19;674924;1
19;674931;1
19;675102;1
19;860;1
18043;674700;1
18043;150882;1
18043;674347;1
18043;341382;1
1;445681;1
1;448986;1
100;675599;1
100;1382808;1
100;161281;1
100;675476;1
100;699486;1
100;674545;1
100;453532;1
100;1051125;1
100;545075;1
100;624251;1
100;289505;1
100;547576;1
100;674863;1
100;1926755;1
100;675686;1
100;675679;1
100;78902;1
100;23199;1
100;674733;1
100;1926820;1
100;674943;1
100;543703;1
100;674434;1
100;674328;1
100;674582;1
100;155045;1
100;8838;1
100;674279;1
100;543;1
100;674851;1
100;674915;1
100;674283;1
100;674338;1
100;545956;1
100;1369635;1
100;49842;1
100;552883;1
100;674443;1
100;675107;1
100;674974;1
100;674346;1
100;674675;1
100;1239094;1
100;674646;1
100;675728;1
100;543658;1
100;675129;1
100;674899;1
100;675017;1
10473;20346;1
10210;1381331;1
10034;1341084;1
11785;62111;1
12209;1085;1
12209;1125;1
12209;674765;1
10977;445681;1
11926;675684;1
12642;316787;1
12642;10840;1
10919;1158402;1
11046;1378011;1
10938;1158402;1
10744;675726;1
17040;1369610;1
20092;1376111;1
11842;62111;1
12327;1542157;1
103167;425650;1
10738;373806;1
10738;674291;1
12456;340684;1
12456;470800;1
12949;438435;1
11409;1378011;1
11387;1381331;1
10266;675684;1
10266;1277553;1
11423;674858;1
10329;22391;1
11451;1376138;1
11451;602271;1
12896;1085;1
12896;1124;1
12896;366279;1
12896;1125;1
12896;674765;1
226;1369608;1
10120;1277553;1
12291;674324;1
11540;1380450;1
11540;1331852;1
12738;674650;1
12738;1540465;1
12738;674518;1
10264;675772;1
10264;1277553;1
30012;1277553;1
100417;602271;1
10992;315123;1
100829;393942;1
10511;1158403;1
11110;674650;1
11110;1540465;1
11110;674518;1
11024;674650;1
11024;1540465;1
11024;674518;1
30026;33576;1
10891;364859;1
10260;91783;1
13000;674650;1
13000;674518;1
13000;1540465;1
10511;252155;1
101079;1277553;1
100126;1377999;1
100126;1277553;1
100126;674436;1
100126;691867;1
100128;1377978;1
100262;543171;1
100262;674852;1
100262;476314;1
100262;270724;1
100262;573926;1
100262;1537155;1
100262;503697;1
100262;252768;1
100262;529987;1
12097;485738;1
18080;674563;1
102687;1377257;1
103797;675085;1
36;328153;1
36;428747;1
36;675090;1
36;675097;1
36;34608;1
36;187962;1
36;674799;1
36;674804;1
36;12825;1
36;1380067;1
36;674885;1
36;328164;1
36;429174;1
36;431376;1
36;674758;1
36;674575;1
36;712273;1
36;421032;1
36;405364;1
101400;460092;1
101412;425650;1
102767;60232;1
12913;1277553;1
12913;33576;1
103950;1121853;1
103829;77474;1
103830;77474;1
104825;685974;1
104825;366279;1
104833;93617;1
104833;154051;1
104618;77474;1
104283;675444;1
104283;115;1
104283;1355850;1
104277;1763646;1
71;28699;1
71;494630;1
71;83838;1
71;674959;1
71;28768;1
24;9495;1
24;674514;1
24;699412;1
24;1449167;1
24;1123018;1
24;30602;1
24;407354;1
24;138562;1
104679;150549;1
104679;581819;1
104679;321696;1
104679;381693;1
104679;674529;1
104679;674826;1
104679;794445;1
104681;685334;1
104682;675571;1
104682;675552;1
104682;675621;1
104682;675596;1
104682;1377665;1
104682;674549;1
104682;675116;1
104682;304798;1
104682;674626;1
104685;675576;1
104685;191902;1
104685;547764;1
104758;419601;1
104758;675812;1
104758;991212;1
104758;674881;1
104758;674359;1
104758;5975;1
104782;51042;1
104758;674421;1
104758;1418084;1
104764;1096;1
104765;675466;1
104765;675465;1
104765;674745;1
104765;21459;1
104765;675050;1
104765;37309;1
104765;675100;1
104765;675083;1
104765;675103;1
104765;551147;1
104765;1355858;1
104766;1121953;1
104766;1121865;1
104766;8062;1
104766;1927101;1
104766;1073669;1
104766;675699;1
104766;14440;1
104766;675703;1
104766;490427;1
104766;564219;1
104766;355917;1
104768;675488;1
104772;674777;1
104772;1376008;1
104773;675377;1
104773;675684;1
104773;1277553;1
104773;450864;1
104811;1377978;1
104700;36662;1
104700;675118;1
104700;674398;1
104700;674953;1
104700;550053;1
104706;674346;1
104706;1359038;1
104706;452635;1
104706;545974;1
104706;674974;1
104706;150451;1
104706;550657;1
104707;674529;1
104707;674710;1
104707;794445;1
104707;381693;1
104733;221962;1
104743;1355848;1
104743;1378465;1
104743;674280;1
104743;27610;1
104743;548124;1
104743;674383;1
104743;674445;1
104743;27609;1
104743;674330;1
104743;3730;1
104743;674511;1
104743;28939;1
104842;1510461;1
104842;249814;1
104842;155045;1
104842;364141;1
104902;366279;1
104782;674289;1
104908;2096404;1
104909;2096404;1
104723;674899;1
104723;1355855;1
104723;36662;1
104723;553490;1
104723;674512;1
104723;675054;1
104723;1355853;1
104723;675118;1
104723;674412;1
104723;674290;1
104723;444191;1
104723;674865;1
104723;675042;1
104725;700369;1
104725;16450;1
104725;51056;1
104725;674757;1
104725;675131;1
104725;123693;1
